# Destination	Items	Skills	Quests	Duration	Display info	Wilderness level	Varbits	VarPlayers
3097 9881 0	AIR_RUNE=1&&FIRE_RUNE=1&&LAW_RUNE=2	54 Magic	Desert Treasure I	5	Paddewwa Teleport	20	4070=1	
3109 3351 0	EARTH_RUNE=1&&WATER_RUNE=1&&LAW_RUNE=1	17 Magic		4	Draynor Manor Teleport	20	4070=3	
3158 3666 0	LAW_RUNE=2&&SOUL_RUNE=2	84 Magic	Desert Treasure I	5	Carrallanger Teleport	20	4070=1	
3165 3479 0	AIR_RUNE=3&&FIRE_RUNE=1&&LAW_RUNE=1	25 Magic		4	Varrock Teleport: GE	20	4070=0;4480=1	
3213 3424 0	AIR_RUNE=3&&FIRE_RUNE=1&&LAW_RUNE=1	25 Magic		4	Varrock Teleport	20	4070=0	
3221 3218 0	AIR_RUNE=3&&EARTH_RUNE=1&&LAW_RUNE=1	31 Magic		4	Lumbridge Teleport	20	4070=0	
3239 6076 0	AIR_RUNE=1&&EARTH_RUNE=1&&LAW_RUNE=1	40 Magic		4	Teleport to House	20	4070=0;2187=7;4744=1	
3239 6076 0	AIR_RUNE=1&&EARTH_RUNE=1&&LAW_RUNE=1	40 Magic		4	Teleport to House (Outside)	20	4070=0;2187=7;4744=0	
3288 3888 0	LAW_RUNE=2&&BLOOD_RUNE=2	90 Magic	Desert Treasure I	5	Annakarl Teleport	20	4070=1	
3320 3337 0	LAW_RUNE=2&&SOUL_RUNE=1	60 Magic	Desert Treasure I	5	Senntisten Teleport	20	4070=1	
3340 3003 0	AIR_RUNE=1&&EARTH_RUNE=1&&LAW_RUNE=1	40 Magic		4	Teleport to House	20	4070=0;2187=3;4744=1	
3340 3003 0	AIR_RUNE=1&&EARTH_RUNE=1&&LAW_RUNE=1	40 Magic		4	Teleport to House (Outside)	20	4070=0;2187=3;4744=0	
3433 3459 0	LAW_RUNE=1&&SOUL_RUNE=2	40 Magic	Priest in Peril	4	Salve Graveyard Teleport	20	4070=3	
3494 3473 0	LAW_RUNE=2&&BLOOD_RUNE=1	66 Magic	Desert Treasure I	5	Kharyrll Teleport	20	4070=1	
3548 3529 0	EARTH_RUNE=1&&LAW_RUNE=1&&SOUL_RUNE=1	48 Magic	Priest in Peril	4	Fenkenstrain's Castle Teleport	20	4070=3	
3564 3315 0	BLOOD_RUNE=1&&LAW_RUNE=2&&SOUL_RUNE=2	83 Magic		4	Barrows Teleport	20	4070=3	
3797 2866 0	LAW_RUNE=1&&NATURE_RUNE=1&&SOUL_RUNE=1	65 Magic	The Great Brain Robbery	4	Harmony Island Teleport	20	4070=3	
